date,MCD,CVX,DD,PG,UNH,V,WBA,RTX,INTC,VZ,WMT,JNJ,AXP,MRK,PFE,JPM,CSCO,NKE,MSFT,MMM,AAPL,GS,IBM,TRV,HD,CAT,XOM,DIS,KO,BA
2008-03-19,34.15321350097656,43.43135070800781,32.35570526123047,42.13318634033203,28.68109893798828,12.605217933654783,22.749361038208008,29.2093448638916,13.014488220214844,14.425959587097168,11.901863098144531,40.176639556884766,32.37114334106445,23.224624633789062,10.159934043884276,27.957490921020508,16.594308853149414,12.62340259552002,20.8306941986084,36.35270309448242,3.91535234451294,127.94032287597656,64.91317749023438,31.37513732910156,17.912857055664062,47.48143005371094,46.90885925292969,26.417377471923828,18.23322486877441,54.09454345703125
2008-03-20,34.63693618774414,44.13143157958984,32.41791915893555,43.10249710083008,28.49555206298828,14.356560707092283,22.999492645263672,29.3155517578125,13.421770095825195,14.832499504089355,12.476094245910645,40.48626327514648,35.43867874145508,23.42451477050781,10.150070190429688,30.261518478393555,16.797760009765625,13.734050750732422,21.2382869720459,35.671112060546875,4.024054527282715,138.03775024414062,65.68477630615234,32.30808639526367,18.72708511352539,47.53939056396485,47.225547790527344,26.97549057006836,18.561643600463867,55.08879089355469
2008-03-24,35.49617004394531,44.55572891235352,33.466522216796875,43.47530364990234,28.81019401550293,13.32583236694336,24.143842697143555,29.88054084777832,13.65626621246338,15.181546211242676,12.569849967956545,40.18281555175781,36.54084396362305,23.905317306518555,10.159934043884276,30.643329620361328,17.387746810913086,14.103583335876465,21.231002807617188,35.973018646240234,4.213072299957275,137.46145629882812,66.08997344970703,32.240482330322266,19.527952194213867,48.96261978149414,47.75333404541016,27.093883514404297,18.604211807250977,56.18613815307617
2008-03-25,35.76984786987305,44.83682632446289,33.644248962402344,43.2081184387207,28.463275909423828,14.111154556274414,23.76864624023437,29.80405807495117,13.74265193939209,15.152798652648926,12.433908462524414,39.972293853759766,36.61791610717773,24.132226943969727,10.243736267089844,30.32075309753418,17.462350845336914,13.958635330200195,21.209178924560547,36.12856674194336,4.256853103637695,138.03775024414062,65.48492431640625,32.287811279296875,19.19425392150879,49.35544967651367,47.33663558959961,27.12770652770996,18.67415809631348,55.89891815185547
2008-03-26,35.387977600097656,45.05953598022461,33.59981918334961,43.27025604248047,27.511274337768555,14.269550323486328,23.737380981445312,29.570432662963867,13.48965072631836,14.840707778930664,12.398746490478516,40.06515502929688,34.96082305908203,24.148426055908203,10.199369430541992,29.037092208862305,16.804540634155273,13.529887199401855,20.787033081054688,35.982177734375,4.380049228668213,134.8486785888672,64.896484375,32.14581680297852,18.79380989074707,49.81911849975586,47.92557144165039,26.857107162475582,18.59509658813477,56.19350051879883
2008-03-27,35.2924919128418,44.76255798339844,33.14152145385742,43.12734222412109,27.430599212646484,14.035293579101562,23.299640655517575,29.48546028137207,13.014488220214844,14.76679801940918,12.274528503417969,40.01563262939453,34.55232620239258,24.19164657592773,10.13528060913086,28.2142276763916,16.39765167236328,13.47068214416504,20.415830612182617,35.6162223815918,4.23481035232544,129.20823669433594,64.12493896484375,32.08498764038086,18.54688262939453,49.60660171508789,47.89223861694336,26.5357666015625,18.64374542236328,54.66162872314453
2008-03-28,35.31158828735352,44.81556701660156,32.94381332397461,43.14596939086914,27.75330924987793,14.00183391571045,23.405961990356445,29.120141983032227,12.829360008239746,14.721627235412598,12.215935707092283,39.743160247802734,33.25748062133789,24.045785903930664,10.105706214904783,28.11548614501953,16.329837799072266,13.44618034362793,20.31393051147461,35.65739059448242,4.318148612976074,126.37263488769533,63.59755706787109,32.05795669555664,18.273252487182617,49.64525604248047,47.347747802734375,26.214427947998047,18.531230926513672,54.1092643737793
2008-03-31,35.49617004394531,45.271705627441406,33.11455154418945,43.53742599487305,27.745227813720703,13.912591934204102,23.81865882873535,29.234827041625977,13.070029258728027,14.968013763427734,12.34718894958496,40.17044448852539,33.69682312011719,20.501853942871094,10.317682266235352,28.27347946166992,16.336618423461914,13.883091926574709,20.65601348876953,36.20633316040039,4.332944869995117,127.09500122070312,63.914024353027344,32.3486442565918,18.66700935363769,50.41803741455078,46.992164611816406,26.5357666015625,18.509937286376957,54.77210235595703
2008-04-01,36.22174453735352,46.00358963012695,33.89636993408203,44.2022590637207,29.271381378173828,13.745265007019045,24.34393882751465,30.26285552978516,13.557531356811523,15.590462684631348,12.675320625305176,40.78968048095703,36.294212341308594,20.701738357543945,10.539511680603027,30.939558029174805,16.940174102783203,14.203628540039062,21.471195220947266,37.198951721191406,4.515018463134766,135.90916442871094,64.66337585449219,34.17396545410156,19.68144989013672,51.50640106201172,48.34781265258789,26.98394775390625,18.683273315429688,55.88418960571289
2008-04-02,36.062618255615234,46.41196823120117,34.21088790893555,43.79216384887695,29.03720474243164,13.903668403625488,23.84993934631348,30.237361907958984,13.483478546142578,15.660594940185549,12.764385223388672,40.44291687011719,35.95507049560547,20.04265594482422,10.603598594665527,30.687360763549805,16.926605224609375,13.876965522766112,21.22372817993164,37.01140975952149,4.453423976898193,135.91693115234375,63.730804443359375,33.76156997680664,19.461212158203125,50.55971908569336,49.18119812011719,26.687976837158203,18.38527107238769,56.598575592041016
